#wl,fl,unc,lq,uq,n
##double,double,double,double,double,int
818.5000,6.58100,0.53907,2.3810,13.3760,104
819.5000,6.97300,0.45556,2.6580,12.4710,116
820.5000,6.76500,0.36649,3.4240,11.6190,125
821.5000,4.94400,0.42563,1.9450,10.8730,110
822.5000,5.19300,0.29768,2.7900,9.3660,122
823.5000,5.85300,0.36527,2.6690,10.7050,121
824.5000,6.11700,0.47132,2.5280,13.3170,131
825.5000,5.29400,0.41066,1.8100,10.4240,110
826.5000,4.51600,0.44666,1.4040,11.1490,119
827.5000,6.79200,0.39678,2.6670,11.2140,116
828.5000,6.29700,0.40003,3.1890,12.1340,125
829.5000,5.90900,0.31306,2.8030,9.8590,127
830.5000,4.85300,0.33679,2.3330,10.0130,130
831.5000,6.83500,0.43659,2.6900,12.7600,133
832.5000,6.00700,0.32605,2.9590,10.4510,132
833.5000,4.65100,0.34021,2.0580,10.0220,137
834.5000,5.25300,0.35623,2.2930,10.3850,129
835.5000,5.69100,0.44802,2.5630,12.4600,122
836.5000,6.03600,0.35209,2.5430,10.4160,125
837.5000,6.08200,0.33342,2.4910,10.0060,127
838.5000,5.16200,0.34608,2.1530,10.2250,136
839.5000,5.58400,0.36041,2.7020,11.1390,137
840.5000,5.81300,0.32043,2.4480,9.6130,125
841.5000,5.31400,0.32081,2.5010,9.9560,135
842.5000,5.05400,0.33069,2.5090,10.0500,130
843.5000,5.44700,0.33061,2.4500,9.8130,124
844.5000,5.61200,0.27197,2.9000,9.3130,139
845.5000,4.57100,0.29347,2.0310,8.9260,138
846.5000,5.38900,0.27900,2.7690,9.0820,128
847.5000,5.42100,0.32779,2.4920,9.9090,128
848.5000,4.79800,0.34788,2.4260,10.5400,136
849.5000,6.05200,0.29922,3.4440,10.5500,141
850.5000,5.73100,0.26426,2.5640,8.5900,130
851.5000,4.87500,0.29239,2.0440,8.6600,128
852.5000,5.47200,0.34118,2.3940,10.2040,131
853.5000,6.09400,0.35248,2.0340,10.4050,141
854.5000,5.16300,0.29292,2.6540,9.5360,138
855.5000,5.12800,0.29797,2.2010,8.8370,124
856.5000,4.62100,0.27630,2.3780,8.7510,133
857.5000,5.64500,0.31731,2.2690,9.7510,139
858.5000,4.53000,0.28795,2.1570,8.8730,136
859.5000,4.50600,0.26830,2.0290,8.6880,154
860.5000,4.97600,0.34745,2.2920,10.0300,124
861.5000,3.92000,0.26199,2.0280,8.2500,141
862.5000,5.27300,0.30373,2.0770,9.4420,147
863.5000,4.79600,0.30295,2.1760,9.4970,146
864.5000,4.64000,0.27708,1.9830,8.4930,138
865.5000,4.43400,0.28302,2.0210,8.8370,145
866.5000,5.87400,0.27346,2.6810,9.4240,152
867.5000,4.28900,0.27153,1.5880,8.0820,143
868.5000,5.09400,0.25038,2.3570,8.5510,153
869.5000,4.89200,0.23959,2.3780,8.5890,168
870.5000,4.96700,0.28850,2.3960,9.1250,136
871.5000,4.94600,0.28411,2.1880,9.2850,156
872.5000,4.89500,0.21365,2.4870,7.8580,158
873.5000,4.96900,0.24211,2.4060,8.4540,156
874.5000,5.58800,0.29296,2.4100,9.6100,151
875.5000,5.19100,0.28141,2.7520,9.6910,152
876.5000,5.75300,0.31397,2.6210,10.4890,157
877.5000,5.14700,0.30384,2.3690,9.9100,154
878.5000,5.20500,0.24073,2.2040,8.2750,159
879.5000,4.67600,0.29589,1.9600,9.2320,151
880.5000,4.70100,0.27825,2.0240,8.9300,154
881.5000,5.27600,0.32860,2.4880,10.9810,167
882.5000,5.24300,0.26886,2.3360,9.1590,161
883.5000,5.64900,0.26409,2.9790,9.5760,156
