observationStartMJD,fieldRA,fiveSigmaDepth,airmass,fieldDec,filter,ra,dec,id
63472.165243055555,0.0,24.502784680869887,1.2731822397436887,-61.126856,g,0.0,-60.0,0
59875.10826388889,0.0,23.43497806662332,1.1652747484999046,-61.126856,u,0.0,-60.0,0
59876.10302083333,0.0,23.247337029702987,1.1655310277767363,-61.126856,u,0.0,-60.0,0
62688.41840277778,0.0,24.63408074464703,1.166973462145848,-61.126856,g,0.0,-60.0,0
62088.05434027778,0.0,23.03964536593079,1.1656958259342116,-61.126856,u,0.0,-60.0,0
60903.30483796296,0.0,24.39734762983917,1.1666141487268837,-61.126856,g,0.0,-60.0,0
62688.406064814815,0.0,24.638762047877957,1.1654792879414113,-61.126856,g,0.0,-60.0,0
63472.14832175926,0.0,24.32899297736717,1.3186117815103078,-61.126856,g,0.0,-60.0,0
62740.271469907406,0.0,23.42825066230929,1.166040890382584,-61.126856,u,0.0,-60.0,0
62686.41275462963,0.0,23.342954867982918,1.1654933902519635,-61.126856,u,0.0,-60.0,0
60967.12296296296,0.0,23.423773904490027,1.1655513638290156,-61.126856,u,0.0,-60.0,0
62774.17619212963,0.0,23.046756140161797,1.1655273610993024,-61.126856,u,0.0,-60.0,0
60886.319085648145,0.0,24.6532967245848,1.170589125899071,-61.126856,g,0.0,-60.0,0
63067.362337962964,0.0,23.26996124345442,1.1659859613147596,-61.126856,u,0.0,-60.0,0
60903.32586805556,0.0,24.19714955237407,1.1767930155200177,-61.126856,g,0.0,-60.0,0
60560.227314814816,0.0,22.98827793457796,1.165895312191881,-61.126856,u,0.0,-60.0,0
62767.174212962964,0.0,23.239087576112976,1.1685287807246116,-61.126856,u,0.0,-60.0,0
60886.30113425926,0.0,24.649964658050337,1.182770273600756,-61.126856,g,0.0,-60.0,0
60175.31762731481,0.0,24.71745003410182,1.1760141507695443,-61.126856,g,0.0,-60.0,0
63473.13291666667,0.0,24.647440215237026,1.3592561496544315,-61.126856,g,0.0,-60.0,0
63473.147210648145,0.0,24.556406463370685,1.3138259116780664,-61.126856,g,0.0,-60.0,0
61296.212592592594,0.0,23.615684364468777,1.1656318366946203,-61.126856,u,0.0,-60.0,0
62305.43221064815,0.0,24.357899761331034,1.1711377912699852,-61.126856,g,0.0,-60.0,0
60175.301828703705,0.0,24.80766972087006,1.1676520870814067,-61.126856,g,0.0,-60.0,0
63145.08834490741,0.0,24.678147027241476,1.2182386425784824,-61.126856,g,0.0,-60.0,0
60885.33086805556,0.0,24.82995513144263,1.1671800204141198,-61.126856,g,0.0,-60.0,0
60885.30769675926,0.0,24.816468560332318,1.1795986090450798,-61.126856,g,0.0,-60.0,0
63068.33546296296,0.0,24.760451068005366,1.1760036404130358,-61.126856,g,0.0,-60.0,0
63145.104212962964,0.0,24.81042075951443,1.1960738982146957,-61.126856,g,0.0,-60.0,0
