night,expDate,fiveSigmaDepth,filter,fieldDec,fieldRA,expMJD,obsTimes,absFlux,fluxErr
599,51788104,23.714427,i,-0.493128,1.033665,60179.399363,596.318192665,6.200018483,0.0621891144
600,51868570,23.741323,i,-0.441474,1.011712,60180.330678,597.24926066,6.1194333858,0.0617967571
600,51869912,23.753495,i,-0.441474,1.011712,60180.346208,597.264800659,6.2267723363,0.0617790565
604,52209251,21.504603,y,-0.493128,1.033665,60184.27375,601.192424637,5.95024729,0.0604073502
604,52209975,21.645092,y,-0.493128,1.033665,60184.282123,601.200860637,5.9712494491,0.0604118238
613,52991189,23.24731,i,-0.493128,1.033665,60193.32395,610.242476587,5.8121013306,0.0591834344
613,52992619,23.137605,i,-0.493128,1.033665,60193.340503,610.259348587,5.9060595701,0.0591913004
613,52992736,23.123929,i,-0.441474,1.011712,60193.341856,610.260680587,5.8995092001,0.0591912492
613,52994866,23.479016,i,-0.441474,1.011712,60193.366513,610.285100587,5.9375438398,0.0591904143
618,53416694,22.755609,u,-0.493128,1.033665,60198.248782,615.167324559,5.9352154687,0.0586934413
618,53416772,22.768557,u,-0.441474,1.011712,60198.249677,615.168212559,5.8940975836,0.0586842209
618,53420943,23.106735,u,-0.493128,1.033665,60198.297954,615.216608559,5.8101655065,0.058728534
620,53590155,23.048514,u,-0.493128,1.033665,60200.256425,617.175092548,5.923455474,0.0582615318
620,53590194,23.057392,u,-0.441474,1.011712,60200.25688,617.175536548,5.7875301454,0.0582555005
620,53594733,24.210634,r,-0.493128,1.033665,60200.309417,617.227928548,5.8617757364,0.0583904511
620,53595910,24.091761,r,-0.493128,1.033665,60200.323042,617.241692548,5.8738382466,0.0583968816
626,54107787,24.277555,r,-0.441474,1.011712,60206.247535,623.165984515,5.7946530745,0.0573104533
626,54109344,24.322448,r,-0.441474,1.011712,60206.265566,623.184188514,5.9070587732,0.0573642264
626,54120528,22.32913,z,-0.493128,1.033665,60206.395,623.313836514,5.7381309651,0.0573837048
626,54120645,22.323216,z,-0.441474,1.011712,60206.396364,623.315168514,5.744003512,0.0573800702
627,54193154,23.406796,i,-0.493128,1.033665,60207.235583,624.154328509,5.6718869817,0.0567829901
627,54193386,23.395256,i,-0.441474,1.011712,60207.238266,624.156992509,5.6737197098,0.0567915476
627,54194331,23.491585,i,-0.493128,1.033665,60207.249212,624.167648509,5.5920938718,0.0567899115
627,54194563,23.479783,i,-0.441474,1.011712,60207.251896,624.170312509,5.6124879807,0.0567831655
631,54538480,23.839645,r,-0.493128,1.033665,60211.232409,628.151216487,5.6466082488,0.055773546
631,54539872,23.982264,r,-0.493128,1.033665,60211.248523,628.167200487,5.7201677223,0.0558009101
634,54798676,22.539448,z,-0.441474,1.011712,60214.243942,631.16242447,5.6415228382,0.0562697554
634,54800644,22.640873,z,-0.441474,1.011712,60214.266722,631.18551247,5.6471009959,0.0562561847
634,54803687,22.497711,z,-0.493128,1.033665,60214.301939,631.22058847,5.6470285434,0.0563187061
634,54806017,22.706133,z,-0.493128,1.033665,60214.328908,631.247672469,5.6913281253,0.0563120339
635,54884803,21.390447,y,-0.493128,1.033665,60215.240781,632.159204464,5.5899487136,0.0561637737
636,54970345,21.910612,z,-0.493128,1.033665,60216.230849,633.149324459,5.5682952616,0.0560902819
636,54972005,22.059694,z,-0.493128,1.033665,60216.250063,633.168860459,5.6261347488,0.0560955645
637,55054336,21.641741,y,-0.441474,1.011712,60217.202969,634.121684453,5.623204796,0.0559495445
637,55054568,21.649682,y,-0.493128,1.033665,60217.205651,634.124348453,5.5978300754,0.0559527544
637,55054722,21.631264,y,-0.493128,1.033665,60217.20744,634.126124453,5.7003685796,0.0559483755
637,55055611,21.580796,y,-0.493128,1.033665,60217.217725,634.136336453,5.5715583998,0.055956655
637,55055920,21.488163,y,-0.441474,1.011712,60217.221304,634.139888453,5.6105368518,0.0559477264
637,55059638,21.871804,y,-0.441474,1.011712,60217.26433,634.182956453,5.6997708575,0.0559638921
647,55918106,24.644162,g,-0.441474,1.011712,60227.20031,644.118788397,5.8110720933,0.058087516
647,55920008,24.769706,g,-0.441474,1.011712,60227.222326,644.140988397,5.7366335262,0.0581313689
652,56346221,24.240633,r,-0.493128,1.033665,60232.155346,649.07382837,5.9157183492,0.0597894734
652,56346299,24.250475,r,-0.441474,1.011712,60232.156241,649.07471637,5.9159813954,0.0597815607
652,56347708,24.407587,r,-0.493128,1.033665,60232.172553,649.09114437,5.9831246458,0.0597395918
652,56347785,24.416637,r,-0.441474,1.011712,60232.173448,649.09203237,5.9367972006,0.0597526688
654,56518022,24.247277,r,-0.441474,1.011712,60234.143779,651.062504359,6.1385558548,0.0606737513
654,56519400,24.33275,r,-0.441474,1.011712,60234.159727,651.078488358,6.0378441706,0.0607159731
656,56694873,23.14341,u,-0.493128,1.033665,60236.190662,653.109344347,6.1508362071,0.0613204841
660,57035736,23.747147,r,-0.441474,1.011712,60240.135836,657.054284325,6.1319971874,0.0616700499
660,57036838,23.739963,r,-0.441474,1.011712,60240.148588,657.067160325,6.1756282831,0.0616650715
660,57038484,23.854448,r,-0.493128,1.033665,60240.167646,657.086252325,6.1967975738,0.0617122654
660,57039784,24.007731,r,-0.493128,1.033665,60240.182696,657.101348325,6.1383713941,0.0617583516
662,57207391,21.770713,y,-0.493128,1.033665,60242.122591,659.041184314,6.20857084,0.0628776534
662,57215914,23.61458,i,-0.493128,1.033665,60242.221236,659.139752313,6.151481818,0.0630066873
662,57217507,23.400705,i,-0.493128,1.033665,60242.239673,659.158400313,6.4122558056,0.0629860562
666,57551952,21.686017,y,-0.441474,1.011712,60246.110565,663.029192292,6.3342241398,0.0631819629
666,57552416,21.687403,y,-0.493128,1.033665,60246.115933,663.034520292,6.3744602768,0.0631563022
666,57552493,21.694891,y,-0.441474,1.011712,60246.116828,663.035408292,6.2149771648,0.0631497532
666,57554933,21.60252,y,-0.441474,1.011712,60246.145062,663.063824291,6.2985379661,0.0632002582
666,57555397,21.721711,y,-0.441474,1.011712,60246.150432,663.069152291,6.3479780681,0.063191874
669,57826386,22.595155,i,-0.441474,1.011712,60249.286879,666.205568274,6.2195290278,0.062773297
669,57828429,22.627135,i,-0.441474,1.011712,60249.310527,666.229100274,6.2451356449,0.0627306866
669,57828818,22.740039,i,-0.441474,1.011712,60249.315031,666.233540274,6.3242594076,0.0627182084
680,58760110,22.76988,u,-0.441474,1.011712,60260.09387,677.012528213,6.3202198399,0.0632383066
681,58847628,22.859591,u,-0.493128,1.033665,60261.106815,678.025292208,6.2561347089,0.0635001507
683,59017173,22.903896,u,-0.441474,1.011712,60263.069139,679.987772197,6.3875465579,0.0644175862
693,59878550,21.786557,z,-0.441474,1.011712,60273.03878,689.957348141,6.6407199529,0.0658696926
693,59879755,22.019704,z,-0.441474,1.011712,60273.052729,689.971556141,6.5308682837,0.065840684
694,59964036,21.150107,y,-0.441474,1.011712,60274.028195,690.947024135,6.5230557165,0.0655700124
694,59971131,21.725323,y,-0.493128,1.033665,60274.110321,691.029164135,6.5443075592,0.0655872931
695,60052144,21.812545,z,-0.441474,1.011712,60275.047971,691.96644813,6.5405138886,0.0653381649
695,60052222,21.841829,z,-0.493128,1.033665,60275.048866,691.96733613,6.4111252722,0.0653431748
695,60053566,22.030023,z,-0.493128,1.033665,60275.064427,691.98287613,6.4770621095,0.06535597
695,60053643,22.008252,z,-0.441474,1.011712,60275.065322,691.98376413,6.5961553925,0.0653536166
695,60057993,22.267045,z,-0.493128,1.033665,60275.115665,692.034380129,6.5536366708,0.0653897532
695,60060180,22.011951,z,-0.493128,1.033665,60275.140973,692.059688129,6.5878676096,0.0653123189
697,60222906,21.637349,z,-0.493128,1.033665,60277.024379,693.943136119,6.5972917694,0.0649510491
697,60224105,21.537464,z,-0.493128,1.033665,60277.038258,693.956900119,6.4070710307,0.0649119577
699,60397882,24.201353,g,-0.493128,1.033665,60279.049569,695.968220107,6.3825882713,0.0644507975
699,60399205,24.283137,g,-0.493128,1.033665,60279.064882,695.983316107,6.483321722,0.0644472133
699,60401985,23.910706,g,-0.441474,1.011712,60279.097056,696.015728107,6.4579953193,0.064477964
699,60402027,23.90488,g,-0.493128,1.033665,60279.097537,696.016172107,6.4690025624,0.0644849748
716,61866994,21.6182,y,-0.441474,1.011712,60296.053174,712.971644012,6.0652215699,0.0614172187
