obsTimes,filter,absFlux
162.9999470883,g,7.9889775509
163.9998350827,r,7.8263758511
163.9998350827,g,7.8263758511
165.0001670771,r,7.9164783663
165.0001670771,g,7.9164783663
166.0000550715,r,7.9393044167
166.0000550715,g,7.9393044167
166.999943066,r,8.1129340265
166.999943066,g,8.1129340265
167.9998310604,r,7.8255298658
167.9998310604,g,7.8255298658
169.0001630548,r,7.9412881067
169.0001630548,g,7.9412881067
170.0000510492,r,7.9327150499
170.0000510492,g,7.9327150499
170.9999390436,r,8.0818915858
170.9999390436,g,8.0818915858
171.999827038,r,7.9156750267
171.999827038,g,7.9156750267
173.0001590324,r,7.9876778886
173.0001590324,g,7.9876778886
174.0000470268,r,8.0539284783
174.0000470268,g,8.0539284783
174.9999350212,r,8.0854440115
174.9999350212,g,8.0854440115
175.9998230156,r,7.8958927696
175.9998230156,g,7.8958927696
177.00015501,r,7.8032220432
177.00015501,g,7.8032220432
178.0000430044,r,7.8929741165
178.0000430044,g,7.8929741165
178.9999309988,r,7.5190191816
178.9999309988,g,7.5190191816
179.9998189932,r,7.6012173102
179.9998189932,g,7.6012173102
181.0001509877,r,7.5336327927
181.0001509877,g,7.5336327927
182.0000389821,r,7.6761316494
182.0000389821,g,7.6761316494
182.9999269765,r,7.5673948775
182.9999269765,g,7.5673948775
183.9998149709,r,7.5869771001
183.9998149709,g,7.5869771001
185.0001469653,r,7.5095644445
185.0001469653,g,7.5095644445
186.0000349597,r,7.5641596559
186.0000349597,g,7.5641596559
186.9999229541,r,7.2739901836
186.9999229541,g,7.2739901836
187.9998109485,r,7.5297964504
187.9998109485,g,7.5297964504
189.0001429429,r,7.6579481101
189.0001429429,g,7.6579481101
190.0000309373,r,7.6746731612
190.0000309373,g,7.6746731612
190.9999189317,r,7.5175879254
190.9999189317,g,7.5175879254
191.9998069261,r,7.5471977703
191.9998069261,g,7.5471977703
193.0001389205,r,7.243049228
193.0001389205,g,7.243049228
194.0000269149,r,7.7393302741
194.0000269149,g,7.7393302741
194.9999149093,r,7.7510823506
194.9999149093,g,7.7510823506
195.9998029038,r,7.8586856075
195.9998029038,g,7.8586856075
197.0001348982,r,7.8531908128
197.0001348982,g,7.8531908128
198.0000228926,r,7.8643127561
198.0000228926,g,7.8643127561
198.999910887,r,7.9046955046
198.999910887,g,7.9046955046
199.9997988814,r,7.7603353613
199.9997988814,g,7.7603353613
201.0001308758,r,7.6810657116
201.0001308758,g,7.6810657116
202.0000188702,r,7.5133032869
202.0000188702,g,7.5133032869
202.9999068646,r,7.5461338559
202.9999068646,g,7.5461338559
203.999794859,r,7.1943228499
203.999794859,g,7.1943228499
205.0001268534,r,7.2923045717
205.0001268534,g,7.2923045717
206.0000148478,r,7.0522824345
206.0000148478,g,7.0522824345
206.9999028422,r,7.0957172802
206.9999028422,g,7.0957172802
207.9997908366,r,7.182788336
207.9997908366,g,7.182788336
209.000122831,r,7.1666547303
209.000122831,g,7.1666547303
210.0000108255,r,7.2990759275
210.0000108255,g,7.2990759275
210.9998988199,r,7.2574657267
210.9998988199,g,7.2574657267
211.9997868143,r,7.1352433117
211.9997868143,g,7.1352433117
213.0001188087,r,7.1099802508
213.0001188087,g,7.1099802508
214.0000068031,r,7.0264243244
214.0000068031,g,7.0264243244
214.9998947975,r,7.0045653998
214.9998947975,g,7.0045653998
215.9997827919,r,6.8774770433
215.9997827919,g,6.8774770433
217.0001147863,r,6.7341445552
217.0001147863,g,6.7341445552
218.0000027807,r,6.9786206067
218.0000027807,g,6.9786206067
218.9998907751,r,6.8591484339
218.9998907751,g,6.8591484339
219.9997787695,r,6.8820559606
219.9997787695,g,6.8820559606
221.0001107639,r,7.0331481274
221.0001107639,g,7.0331481274
221.9999987583,r,6.9889238713
221.9999987583,g,6.9889238713
222.9998867527,r,6.9167203786
222.9998867527,g,6.9167203786
224.0002187471,r,6.8106737703
224.0002187471,g,6.8106737703
225.0001067416,r,6.853086661
225.0001067416,g,6.853086661
225.999994736,r,7.0009882336
225.999994736,g,7.0009882336
226.9998827304,r,6.8317008567
226.9998827304,g,6.8317008567
228.0002147248,r,6.8705920921
228.0002147248,g,6.8705920921
229.0001027192,r,6.8001720765
229.0001027192,g,6.8001720765
229.9999907136,r,6.5206360319
229.9999907136,g,6.5206360319
230.999878708,r,6.4302804024
230.999878708,g,6.4302804024
232.0002107024,r,6.4680144412
232.0002107024,g,6.4680144412
233.0000986968,r,6.331804042
233.0000986968,g,6.331804042
233.9999866912,r,6.2706218436
233.9999866912,g,6.2706218436
234.9998746856,r,6.279910787
234.9998746856,g,6.279910787
236.00020668,r,6.349881557
236.00020668,g,6.349881557
237.0000946744,r,6.4683192475
237.0000946744,g,6.4683192475
237.9999826688,r,6.5996851526
237.9999826688,g,6.5996851526
238.9998706633,r,6.4199274981
238.9998706633,g,6.4199274981
240.0002026577,r,6.3906870576
240.0002026577,g,6.3906870576
241.0000906521,r,6.3161335537
241.0000906521,g,6.3161335537
241.9999786465,r,6.3258116258
241.9999786465,g,6.3258116258
242.9998666409,r,6.220733886
242.9998666409,g,6.220733886
244.0001986353,r,6.1739484383
244.0001986353,g,6.1739484383
245.0000866297,r,6.2330343973
245.0000866297,g,6.2330343973
245.9999746241,r,6.1024939537
245.9999746241,g,6.1024939537
246.9998626185,r,5.929963984
246.9998626185,g,5.929963984
248.0001946129,r,5.9525361262
248.0001946129,g,5.9525361262
249.0000826073,r,5.9032359899
249.0000826073,g,5.9032359899
249.9999706017,r,5.7530375168
249.9999706017,g,5.7530375168
250.9998585961,r,5.5670740184
250.9998585961,g,5.5670740184
252.0001905905,r,5.7653288179
252.0001905905,g,5.7653288179
253.0000785849,r,6.0186221246
253.0000785849,g,6.0186221246
253.9999665794,r,6.1025077731
253.9999665794,g,6.1025077731
254.9998545738,r,6.1478815619
254.9998545738,g,6.1478815619
256.0001865682,r,6.2523043361
256.0001865682,g,6.2523043361
257.0000745626,r,6.3320534766
257.0000745626,g,6.3320534766
257.999962557,r,6.3431068569
257.999962557,g,6.3431068569
258.9998505514,r,6.3842777025
258.9998505514,g,6.3842777025
260.0001825458,r,6.1646118671
260.0001825458,g,6.1646118671
261.0000705402,r,6.0979852286
261.0000705402,g,6.0979852286
261.9999585346,r,6.0730514022
261.9999585346,g,6.0730514022
262.999846529,r,5.8476710613
262.999846529,g,5.8476710613
264.0001785234,r,6.1339147756
264.0001785234,g,6.1339147756
265.0000665178,r,6.2533156803
265.0000665178,g,6.2533156803
265.9999545122,r,6.1233874354
265.9999545122,g,6.1233874354
266.9998425066,r,6.2313722846
266.9998425066,g,6.2313722846
268.0001745011,r,6.2346035333
268.0001745011,g,6.2346035333
269.0000624955,r,6.2836524638
269.0000624955,g,6.2836524638
269.9999504899,r,6.252579929
269.9999504899,g,6.252579929
270.9998384843,r,6.2335486305
270.9998384843,g,6.2335486305
272.0001704787,r,6.4170683685
272.0001704787,g,6.4170683685
273.0000584731,r,6.5063283407
273.0000584731,g,6.5063283407
273.9999464675,r,6.9393924192
273.9999464675,g,6.9393924192
274.9998344619,r,7.0062810554
274.9998344619,g,7.0062810554
276.0001664563,r,7.1200996198
276.0001664563,g,7.1200996198
277.0000544507,r,7.0363349056
277.0000544507,g,7.0363349056
277.9999424451,r,7.1028952976
277.9999424451,g,7.1028952976
278.9998304395,r,6.9586198494
278.9998304395,g,6.9586198494
280.0001624339,r,6.945994553
280.0001624339,g,6.945994553
281.0000504283,r,6.8723522747
281.0000504283,g,6.8723522747
281.9999384227,r,6.9483606973
281.9999384227,g,6.9483606973
282.9998264172,r,6.8027907817
282.9998264172,g,6.8027907817
284.0001584116,r,6.7530349544
284.0001584116,g,6.7530349544
285.000046406,r,6.7468013677
285.000046406,g,6.7468013677
285.9999344004,r,6.6545398685
285.9999344004,g,6.6545398685
286.9998223948,r,6.595533127
286.9998223948,g,6.595533127
288.0001543892,r,6.8732238592
288.0001543892,g,6.8732238592
289.0000423836,r,6.8765294239
289.0000423836,g,6.8765294239
289.999930378,r,6.8236722788
289.999930378,g,6.8236722788
290.9998183724,r,6.7231881
290.9998183724,g,6.7231881
292.0001503668,r,6.7776193755
292.0001503668,g,6.7776193755
293.0000383612,r,6.784702849
293.0000383612,g,6.784702849
293.9999263556,r,6.7697200854
293.9999263556,g,6.7697200854
294.99981435,r,6.9653804206
294.99981435,g,6.9653804206
296.0001463444,r,7.1234251859
296.0001463444,g,7.1234251859
297.0000343389,r,7.4136481958
297.0000343389,g,7.4136481958
297.9999223333,r,7.3334123366
297.9999223333,g,7.3334123366
298.9998103277,r,7.3493895581
298.9998103277,g,7.3493895581
300.0001423221,r,7.3983452795
300.0001423221,g,7.3983452795
301.0000303165,r,7.3870511093
301.0000303165,g,7.3870511093
301.9999183109,r,7.6315213967
301.9999183109,g,7.6315213967
302.9998063053,r,7.5336953303
302.9998063053,g,7.5336953303
304.0001382997,r,7.3834003292
304.0001382997,g,7.3834003292
305.0000262941,r,7.4091837243
305.0000262941,g,7.4091837243
305.9999142885,r,7.712844123
305.9999142885,g,7.712844123
306.9998022829,r,7.7938679543
306.9998022829,g,7.7938679543
308.0001342773,r,7.6851435145
308.0001342773,g,7.6851435145
309.0000222717,r,7.955294829
309.0000222717,g,7.955294829
309.9999102661,r,8.0679861197
309.9999102661,g,8.0679861197
310.9997982606,r,7.9642993373
310.9997982606,g,7.9642993373
312.000130255,r,7.7842078386
312.000130255,g,7.7842078386
313.0000182494,r,7.7534040974
313.0000182494,g,7.7534040974
313.9999062438,r,7.606564531
313.9999062438,g,7.606564531
314.9997942382,r,7.6605718323
314.9997942382,g,7.6605718323
316.0001262326,r,7.7696137633
316.0001262326,g,7.7696137633
317.000014227,r,7.6271684727
317.000014227,g,7.6271684727
317.9999022214,r,7.419790451
317.9999022214,g,7.419790451
318.9997902158,r,7.2883253082
318.9997902158,g,7.2883253082
320.0001222102,r,7.4248745738
320.0001222102,g,7.4248745738
321.0000102046,r,7.3627516558
321.0000102046,g,7.3627516558
321.999898199,r,7.3259351587
321.999898199,g,7.3259351587
322.9997861934,r,7.2988371121
322.9997861934,g,7.2988371121
324.0001181878,r,7.231137484
324.0001181878,g,7.231137484
325.0000061822,r,7.1247217008
325.0000061822,g,7.1247217008
325.9998941767,r,7.3632345769
325.9998941767,g,7.3632345769
326.9997821711,r,7.6300217058
326.9997821711,g,7.6300217058
328.0001141655,r,7.510721312
328.0001141655,g,7.510721312
329.0000021599,r,7.460168688
329.0000021599,g,7.460168688
329.9998901543,r,7.7274968316
329.9998901543,g,7.7274968316
330.9997781487,r,7.6349475312
330.9997781487,g,7.6349475312
332.0001101431,r,7.8683804437
332.0001101431,g,7.8683804437
332.9999981375,r,7.876628801
332.9999981375,g,7.876628801
333.9998861319,r,7.781590579
333.9998861319,g,7.781590579
335.0002181263,r,7.9000305774
335.0002181263,g,7.9000305774
336.0001061207,r,7.8756874607
336.0001061207,g,7.8756874607
336.9999941151,r,7.931488908
336.9999941151,g,7.931488908
337.9998821095,r,7.9954578116
337.9998821095,g,7.9954578116
339.0002141039,r,8.1653936942
339.0002141039,g,8.1653936942
340.0001020983,r,8.1933448376
340.0001020983,g,8.1933448376
340.9999900928,r,7.9330600776
340.9999900928,g,7.9330600776
341.9998780872,r,7.8686097308
341.9998780872,g,7.8686097308
343.0002100816,r,7.5381533299
343.0002100816,g,7.5381533299
344.000098076,r,7.6103329032
344.000098076,g,7.6103329032
344.9999860704,r,7.6742511121
344.9999860704,g,7.6742511121
345.9998740648,r,7.837483452
345.9998740648,g,7.837483452
347.0002060592,r,7.7008755052
347.0002060592,g,7.7008755052
348.0000940536,r,7.8684943869
348.0000940536,g,7.8684943869
348.999982048,r,7.830584395
348.999982048,g,7.830584395
349.9998700424,r,7.8849744282
349.9998700424,g,7.8849744282
351.0002020368,r,7.9659779286
351.0002020368,g,7.9659779286
352.0000900312,r,8.0636785739
352.0000900312,g,8.0636785739
352.9999780256,r,7.9869166653
352.9999780256,g,7.9869166653
353.99986602,r,8.1096046667
353.99986602,g,8.1096046667
355.0001980145,r,7.9526936951
355.0001980145,g,7.9526936951
356.0000860089,r,8.0111012047
356.0000860089,g,8.0111012047
356.9999740033,r,7.9409511179
356.9999740033,g,7.9409511179
357.9998619977,r,7.9419731811
357.9998619977,g,7.9419731811
359.0001939921,r,7.5921293877
359.0001939921,g,7.5921293877
360.0000819865,r,7.663126272
360.0000819865,g,7.663126272
360.9999699809,r,7.7850886599
360.9999699809,g,7.7850886599
361.9998579753,r,7.7372059764
361.9998579753,g,7.7372059764
363.0001899697,r,7.5845471924
363.0001899697,g,7.5845471924
364.0000779641,r,7.6880290768
364.0000779641,g,7.6880290768
364.9999659585,r,7.704439559
364.9999659585,g,7.704439559
365.9998539529,r,7.5907987378
365.9998539529,g,7.5907987378
367.0001859473,r,7.5801937864
367.0001859473,g,7.5801937864
368.0000739417,r,7.4134789394
368.0000739417,g,7.4134789394
368.9999619361,r,7.4517051765
368.9999619361,g,7.4517051765
369.9998499306,r,7.2846599947
369.9998499306,g,7.2846599947
371.000181925,r,7.1472985779
371.000181925,g,7.1472985779
372.0000699194,r,7.2448360841
372.0000699194,g,7.2448360841
372.9999579138,r,6.8931166653
372.9999579138,g,6.8931166653
373.9998459082,r,7.09692045
373.9998459082,g,7.09692045
375.0001779026,r,7.3096961508
375.0001779026,g,7.3096961508
376.000065897,r,7.070084841
376.000065897,g,7.070084841
376.9999538914,r,7.1345183122
376.9999538914,g,7.1345183122
377.9998418858,r,6.8894566764
377.9998418858,g,6.8894566764
379.0001738802,r,6.9641535856
379.0001738802,g,6.9641535856
380.0000618746,r,7.1008579777
380.0000618746,g,7.1008579777
380.999949869,r,7.3308879426
380.999949869,g,7.3308879426
381.9998378634,r,7.1912071437
381.9998378634,g,7.1912071437
383.0001698578,r,7.1072014962
383.0001698578,g,7.1072014962
384.0000578523,r,7.1895296048
384.0000578523,g,7.1895296048
384.9999458467,r,6.9517267352
384.9999458467,g,6.9517267352
385.9998338411,r,6.7148471416
385.9998338411,g,6.7148471416
387.0001658355,r,6.677841253
387.0001658355,g,6.677841253
388.0000538299,r,6.8825800961
388.0000538299,g,6.8825800961
388.9999418243,r,6.8063625677
388.9999418243,g,6.8063625677
389.9998298187,r,6.9658561719
389.9998298187,g,6.9658561719
391.0001618131,r,7.1751341716
391.0001618131,g,7.1751341716
392.0000498075,r,6.9858962469
392.0000498075,g,6.9858962469
392.9999378019,r,6.9317703637
392.9999378019,g,6.9317703637
393.9998257963,r,6.8312550379
393.9998257963,g,6.8312550379
395.0001577907,r,6.5635850635
395.0001577907,g,6.5635850635
396.0000457851,r,6.8318783383
396.0000457851,g,6.8318783383
396.9999337795,r,6.6614620745
396.9999337795,g,6.6614620745
397.999821774,r,6.5741739978
397.999821774,g,6.5741739978
399.0001537684,r,6.5325819677
399.0001537684,g,6.5325819677
400.0000417628,r,6.6170774994
400.0000417628,g,6.6170774994
400.9999297572,r,6.8752548496
400.9999297572,g,6.8752548496
401.9998177516,r,6.7417663494
401.9998177516,g,6.7417663494
403.000149746,r,6.6618472411
403.000149746,g,6.6618472411
404.0000377404,r,6.5746533464
404.0000377404,g,6.5746533464
404.9999257348,r,6.6028193942
404.9999257348,g,6.6028193942
405.9998137292,r,6.7322471995
405.9998137292,g,6.7322471995
407.0001457236,r,6.7572098974
407.0001457236,g,6.7572098974
408.000033718,r,6.7851757371
408.000033718,g,6.7851757371
408.9999217124,r,6.8765605501
408.9999217124,g,6.8765605501
409.9998097068,r,6.7635032719
409.9998097068,g,6.7635032719
411.0001417012,r,6.7271449724
411.0001417012,g,6.7271449724
412.0000296956,r,6.5922129522
412.0000296956,g,6.5922129522
412.9999176901,r,6.7360446774
412.9999176901,g,6.7360446774
413.9998056845,r,6.4224426918
413.9998056845,g,6.4224426918
415.0001376789,r,6.5021923733
415.0001376789,g,6.5021923733
416.0000256733,r,6.2924387131
416.0000256733,g,6.2924387131
416.9999136677,r,6.5629996405
416.9999136677,g,6.5629996405
417.9998016621,r,6.6838165872
417.9998016621,g,6.6838165872
419.0001336565,r,6.441488496
419.0001336565,g,6.441488496
420.0000216509,r,6.3555170752
420.0000216509,g,6.3555170752
420.9999096453,r,6.575825198
420.9999096453,g,6.575825198
421.9997976397,r,6.7860616522
421.9997976397,g,6.7860616522
423.0001296341,r,6.6479931772
423.0001296341,g,6.6479931772
424.0000176285,r,6.533330379
424.0000176285,g,6.533330379
424.9999056229,r,6.7108804195
424.9999056229,g,6.7108804195
425.9997936173,r,6.3437001299
425.9997936173,g,6.3437001299
427.0001256117,r,6.347009503
427.0001256117,g,6.347009503
428.0000136062,r,6.4425355698
428.0000136062,g,6.4425355698
428.9999016006,r,6.396864573
428.9999016006,g,6.396864573
429.999789595,r,6.2903911564
429.999789595,g,6.2903911564
431.0001215894,r,6.4301331564
431.0001215894,g,6.4301331564
432.0000095838,r,6.4078624599
432.0000095838,g,6.4078624599
432.9998975782,r,6.50641276
432.9998975782,g,6.50641276
433.9997855726,r,6.7280785038
433.9997855726,g,6.7280785038
435.000117567,r,6.5519577996
435.000117567,g,6.5519577996
436.0000055614,r,6.5106090437
436.0000055614,g,6.5106090437
436.9998935558,r,6.4080946473
436.9998935558,g,6.4080946473
437.9997815502,r,6.088325693
437.9997815502,g,6.088325693
439.0001135446,r,6.5049676577
439.0001135446,g,6.5049676577
440.000001539,r,6.3633636426
440.000001539,g,6.3633636426
440.9998895334,r,6.5356584313
440.9998895334,g,6.5356584313
442.0002215279,r,6.487729893
